,link,published,title,source
130,https://www.prweb.com/releases/boulder_seo_marketing_to_host_complimentary_search_engine_optimization_training_in_denver_and_online_via_livestream/prweb16668317.htm,"Wed, 23 Oct 2019 00:40:00 GMT",Boulder SEO Marketing To Host Complimentary Search Engine Optimization Training in Denver and Online via Livestream,prweb
98,https://www.prweb.com/releases/brazilian_fashion_brand_amaro_speeds_into_the_future_with_centric_fashion_plm/prweb16658964.htm,"Wed, 23 Oct 2019 00:15:00 GMT",Brazilian Fashion Brand AMARO Speeds into the Future with Centric Fashion PLM,prweb
4,https://www.prweb.com/releases/banc_intranets_introduces_new_4_6_version_of_directorslink_and_bancworks_with_enhanced_features_functionality_and_security/prweb16667788.htm,"Wed, 23 Oct 2019 00:00:00 GMT","Banc Intranets Introduces New 4.6 Version of DirectorsLink® and BancWorks® with Enhanced Features, Functionality and Security",prweb
68,https://www.prweb.com/releases/supreme_auctions_announces_luxury_texas_estate_regency_oaks_in_the_woodlands_to_sell_at_no_reserve_auction/prweb16662952.htm,"Tue, 22 Oct 2019 23:45:00 GMT","Supreme Auctions Announces Luxury Texas Estate, Regency Oaks in The Woodlands, to Sell at No-Reserve Auction",prweb
155,https://www.prweb.com/releases/revelations_from_royal_sarah_ferguson_reveal_growing_use_of_a_range_of_cosmetic_procedures_for_all_kinds_of_people_says_beverly_hills_physicians/prweb16664794.htm,"Tue, 22 Oct 2019 23:20:00 GMT","Revelations from Royal Sarah Ferguson Reveal Growing Use of a Range of Cosmetic Procedures for All Kinds of People, says Beverly Hills Physicians",prweb
131,https://www.prweb.com/releases/babelbark_drives_continuity_of_care_when_hospice_care_is_needed/prweb16668003.htm,"Tue, 22 Oct 2019 23:15:00 GMT",BabelBark® Drives Continuity of Care When Hospice Care is Needed,prweb
94,https://www.prweb.com/releases/national_association_of_student_financial_aid_administrators_national_college_access_network_release_statement_of_support_for_bipartisan_fafsa_simplification_act/prweb16660094.htm,"Tue, 22 Oct 2019 23:10:00 GMT","National Association of Student Financial Aid Administrators, National College Access Network Release Statement of Support for Bipartisan FAFSA Simplification Act",prweb
157,https://www.prweb.com/releases/fan_favorite_crowder_to_helm_winter_jam_2020/prweb16664717.htm,"Tue, 22 Oct 2019 23:00:00 GMT",Fan Favorite Crowder To Helm Winter Jam 2020,prweb
5,https://www.prweb.com/releases/new_napcp_best_practices_guide_shows_public_sector_card_administrators_how_to_define_develop_and_implement_a_p_card_program/prweb16667588.htm,"Tue, 22 Oct 2019 23:00:00 GMT","New NAPCP Best Practices Guide Shows Public Sector Card Administrators How to Define, Develop and Implement a P-Card Program",prweb
3,https://www.prweb.com/releases/asdsa_receives_2019_excellence_in_advocacy_award_for_a_state_campaign/prweb16667819.htm,"Tue, 22 Oct 2019 23:00:00 GMT",ASDSA Receives 2019 Excellence in Advocacy Award for a State Campaign,prweb
133,https://www.prweb.com/releases/massgenie_announces_power_buy_as_a_saas_offering_and_partner_beta_program/prweb16667181.htm,"Tue, 22 Oct 2019 23:00:00 GMT",MassGenie Announces Power Buy as a SaaS Offering and Partner Beta Program,prweb
135,https://www.prweb.com/releases/southeastern_wisconsin_pickup_truck_shoppers_can_soon_get_the_2020_nissan_titan_at_boucher_nissan_of_greenfield/prweb16667058.htm,"Tue, 22 Oct 2019 22:00:00 GMT",Southeastern Wisconsin Pickup Truck Shoppers Can Soon Get the 2020 Nissan TITAN at Boucher Nissan of Greenfield,prweb
6,https://www.prweb.com/releases/miami_single_family_homes_condo_sales_surge_in_september/prweb16667556.htm,"Tue, 22 Oct 2019 21:40:00 GMT","Miami Single-Family Homes, Condo Sales Surge in September",prweb
28,https://www.prweb.com/releases/attention_millennials_travel_trim_debt_with_trucking_career/prweb16664893.htm,"Tue, 22 Oct 2019 21:30:00 GMT",Attention Millennials: Travel & Trim Debt with Trucking Career,prweb
159,https://www.prweb.com/releases/everything_you_need_to_know_about_telecytology_but_were_afraid_to_ask_asc_short_course_on_telecytology_for_rose_utilizing_remote_medical_technologies/prweb16664687.htm,"Tue, 22 Oct 2019 21:00:00 GMT",Everything You Need to Know About Telecytology But Were Afraid to Ask: ASC Short Course on Telecytology for ROSE Utilizing Remote Medical Technologies,prweb
49,https://www.prweb.com/releases/vr_esport_tower_tag_coming_to_north_america_and_europe/prweb16664398.htm,"Tue, 22 Oct 2019 21:00:00 GMT",VR eSport Tower Tag Coming to North America and Europe,prweb
9,https://www.prweb.com/releases/tiffany_comunale_berkshire_hathaway_homeservices_florida_realty_featured_in_top_agent_magazine/prweb16667042.htm,"Tue, 22 Oct 2019 21:00:00 GMT","Tiffany Comunale, Berkshire Hathaway HomeServices Florida Realty, Featured in Top Agent Magazine",prweb
134,https://www.prweb.com/releases/practicesuite_selects_relatient_to_power_patient_reminders_intake_surveys_secure_messaging_and_self_scheduling_for_57_000_medical_professionals/prweb16667099.htm,"Tue, 22 Oct 2019 20:45:00 GMT","PracticeSuite Selects Relatient To Power Patient Reminders, Intake, Surveys, Secure Messaging, And Self-Scheduling For 57,000 Medical Professionals",prweb
132,https://www.prweb.com/releases/airship_delivers_openstack_and_kubernetes_at_scale_earns_confirmation_as_top_level_osf_project/prweb16667335.htm,"Tue, 22 Oct 2019 20:45:00 GMT","Airship Delivers OpenStack and Kubernetes at Scale, Earns Confirmation as Top-Level OSF Project",prweb
21,https://www.prweb.com/releases/worcester_polytechnic_institute_researcher_creating_safer_more_accurate_way_to_detect_prostate_cancer/prweb16665793.htm,"Tue, 22 Oct 2019 20:35:00 GMT","Worcester Polytechnic Institute Researcher Creating Safer, More Accurate Way to Detect Prostate Cancer",prweb
213,https://www.prweb.com/releases/leasebreak_com_registers_its_100_000th_user_by_focusing_on_short_term_rentals/prweb16661454.htm,"Tue, 22 Oct 2019 20:10:55 GMT","Leasebreak.com registers its 100,000th user by focusing on short term rentals",prweb
7,https://www.prweb.com/releases/rentec_direct_teams_up_with_petscreening_to_assist_pet_friendly_property_owners_and_managers/prweb16667111.htm,"Tue, 22 Oct 2019 20:00:00 GMT",Rentec Direct Teams Up With PetScreening to Assist Pet-Friendly Property Owners and Managers,prweb
280,https://www.prweb.com/releases/helios_ip_announces_docketengine_version_11_update/prweb16661332.htm,"Tue, 22 Oct 2019 20:00:00 GMT",Helios IP Announces DocketEngine™ Version 11 Update,prweb
8,https://www.prweb.com/releases/thor_equities_group_acquires_first_property_in_nashville/prweb16667059.htm,"Tue, 22 Oct 2019 19:50:00 GMT",Thor Equities Group Acquires First Property in Nashville,prweb
285,https://www.prweb.com/releases/boston_arts_academy_foundation_announces_pledge_from_red_sox_foundation_fenway_music_company_and_anonymous_challenge_grant/prweb16650684.htm,"Tue, 22 Oct 2019 19:40:08 GMT","Boston Arts Academy Foundation Announces Pledge From Red Sox Foundation & Fenway Music Company and Anonymous ""Challenge Grant""",prweb
136,https://www.prweb.com/releases/edulab_capital_partners_expands_investment_and_operations_team_to_support_global_portfolio/prweb16666987.htm,"Tue, 22 Oct 2019 19:35:00 GMT",EduLab Capital Partners Expands Investment and Operations Team to Support Global Portfolio,prweb
137,https://www.prweb.com/releases/central_holidays_unveils_a_year_of_traveling_our_top_destinations_guide/prweb16666950.htm,"Tue, 22 Oct 2019 19:30:00 GMT",Central Holidays Unveils “A Year of Traveling Our Top Destinations” Guide,prweb
10,https://www.prweb.com/releases/compelling_new_bestseller_takes_an_honest_approach_on_turning_trauma_into_triumph_and_impossible_odds_into_victories/prweb16666794.htm,"Tue, 22 Oct 2019 19:30:00 GMT",Compelling New Bestseller Takes an Honest Approach on Turning Trauma into Triumph and Impossible Odds into Victories,prweb
50,https://www.prweb.com/releases/milton_hershey_school_elementary_teacher_receives_presidential_award_for_excellence/prweb16664266.htm,"Tue, 22 Oct 2019 19:30:00 GMT",Milton Hershey School Elementary Teacher Receives Presidential Award for Excellence,prweb
251,https://www.prweb.com/releases/alan_hayon_accepted_into_forbes_finance_council/prweb16653012.htm,"Tue, 22 Oct 2019 19:10:00 GMT",Alan Hayon accepted into Forbes Finance Council,prweb
191,https://www.prweb.com/releases/trextel_to_launch_new_managed_services_platform/prweb16663511.htm,"Tue, 22 Oct 2019 19:00:00 GMT",Trextel to Launch New Managed Services Platform,prweb
0,https://www.prweb.com/releases/daisies_dragonflies_a_documentary_about_gilmore_girls_is_in_production/prweb16666273.htm,"Tue, 22 Oct 2019 19:00:00 GMT","Daisies & Dragonflies, a Documentary about Gilmore Girls, is in Production",prweb
12,https://www.prweb.com/releases/palmer_johnson_continues_to_grow_in_sun_prairie_wi_with_new_recon_facility/prweb16666578.htm,"Tue, 22 Oct 2019 19:00:00 GMT","Palmer Johnson Continues to Grow in Sun Prairie, WI with New RECON Facility",prweb
181,https://www.prweb.com/releases/linc_housing_s_mosaic_gardens_at_westlake_earns_five_industry_awards_for_stunning_design_and_positive_impact_on_the_community/prweb16663773.htm,"Tue, 22 Oct 2019 18:45:00 GMT",Linc Housing's Mosaic Gardens at Westlake Earns Five Industry Awards for  Stunning Design and Positive Impact on the Community,prweb
11,https://www.prweb.com/releases/greenberg_traurig_s_tokyo_office_presents_insiders_views_of_deal_making_in_the_life_sciences_sector/prweb16666620.htm,"Tue, 22 Oct 2019 18:35:00 GMT",Greenberg Traurig's Tokyo Office Presents ‘Insiders’ Views of Deal Making in the Life Sciences Sector’,prweb
138,https://www.prweb.com/releases/clear_comfort_and_innovative_water_care_collaborate_to_deliver_the_best_and_easiest_water_quality_solution/prweb16665537.htm,"Tue, 22 Oct 2019 18:35:00 GMT",Clear Comfort and Innovative Water Care Collaborate to Deliver the Best and Easiest Water Quality Solution,prweb
87,https://www.prweb.com/releases/ccoe_s_jason_weisstein_md_mph_facs_brings_strykers_mako_robotic_arm_assisted_joint_replacement_service_to_colorado_springs/prweb16660863.htm,"Tue, 22 Oct 2019 18:30:00 GMT","CCOE's Jason Weisstein, MD, MPH, FACS Brings Stryker’s MAKO Robotic-Arm Assisted Joint Replacement Service to Colorado Springs",prweb
264,https://www.prweb.com/releases/irving_company_announces_alabama_alliance_usosm_forms_partnership_with_clark_holmes_oral_facial_surgery/prweb16635092.htm,"Tue, 22 Oct 2019 18:30:00 GMT",Irving Company Announces Alabama Alliance: USOSM Forms Partnership with Clark Holmes Oral Facial Surgery,prweb
59,https://www.prweb.com/releases/extensis_unveils_new_corporate_branding_as_company_celebrates_26th_year_in_business/prweb16663434.htm,"Tue, 22 Oct 2019 18:25:23 GMT",Extensis Unveils New Corporate Branding as Company Celebrates 26th Year in Business,prweb
152,https://www.prweb.com/releases/design_by_humans_and_champion_partner_on_limited_edition_drlupo_and_timthetatman_products/prweb16664880.htm,"Tue, 22 Oct 2019 18:10:00 GMT",Design By Humans and Champion Partner on Limited Edition DrLupo and TimTheTatman Products,prweb
16,https://www.prweb.com/releases/through_innovative_eyeonclimate_campaign_the_un_foundation_leverages_photography_to_spotlight_climate_change_solutions/prweb16666269.htm,"Tue, 22 Oct 2019 18:00:00 GMT","Through Innovative #EyeOnClimate Campaign, the UN Foundation Leverages Photography to Spotlight Climate Change Solutions",prweb
69,https://www.prweb.com/releases/maverick_payments_announces_instant_merchant_settlement_under_new_sponsorship_program_with_avidia_bank/prweb16662887.htm,"Tue, 22 Oct 2019 18:00:00 GMT",Maverick Payments Announces Instant Merchant Settlement Under New Sponsorship Program with Avidia Bank,prweb
246,https://www.prweb.com/releases/vinitaly_international_academys_chief_scientist_prof_attilio_scienza_welcomes_italian_wine_ambassadors_to_bolgheri_tuscany/prweb16655835.htm,"Tue, 22 Oct 2019 18:00:00 GMT","Vinitaly International Academy’s Chief Scientist Prof. Attilio Scienza welcomes Italian Wine Ambassadors to Bolgheri, Tuscany",prweb
183,https://www.prweb.com/releases/weigh_less_louisville_launches_louisvilles_only_european_style_natural_weight_loss_program/prweb16663758.htm,"Tue, 22 Oct 2019 18:00:00 GMT",Weigh Less Louisville launches Louisville’s only European-Style Natural Weight Loss Program,prweb
13,https://www.prweb.com/releases/opportunity_for_traditional_financial_services_technology_providers_and_fintechs_to_build_bridges_between_networks_for_more_cohesive_framework_for_u_s_faster_payments/prweb16666362.htm,"Tue, 22 Oct 2019 18:00:00 GMT",Opportunity for traditional financial services technology providers and fintechs to build bridges between networks for more cohesive framework for U.S. faster payments,prweb
17,https://www.prweb.com/releases/hemp_eyewear_officially_launches_as_worlds_first_sustainable_sunglass_line_made_from_hemp_fibre/prweb16666240.htm,"Tue, 22 Oct 2019 17:50:00 GMT",Hemp Eyewear Officially Launches as World’s First Sustainable Sunglass Line Made From Hemp Fibre,prweb
15,https://www.prweb.com/releases/rigaku_features_latest_x_ray_analytical_innovations_at_sermacs_2019/prweb16666275.htm,"Tue, 22 Oct 2019 17:50:00 GMT",Rigaku Features Latest X-ray Analytical Innovations at SERMACS 2019,prweb
14,https://www.prweb.com/releases/mount_sinai_awarded_25_million_to_study_the_environments_influence_on_peoples_health_throughout_their_lifetimes/prweb16666309.htm,"Tue, 22 Oct 2019 17:50:00 GMT",Mount Sinai Awarded $25 Million to Study the Environment’s Influence on People’s Health Throughout Their Lifetimes,prweb
18,https://www.prweb.com/releases/greenberg_traurigs_katharine_j_neer_to_speak_at_nysbas_women_on_the_move_cle/prweb16666202.htm,"Tue, 22 Oct 2019 17:45:00 GMT",Greenberg Traurig’s Katharine J. Neer to Speak at  NYSBA’s Women on the Move CLE,prweb
263,https://www.prweb.com/releases/legal_netlink_alliance_to_hold_u_s_fall_meeting_in_atlanta/prweb16636398.htm,"Tue, 22 Oct 2019 17:35:21 GMT",Legal Netlink Alliance to Hold U.S. Fall Meeting in Atlanta,prweb
19,https://www.prweb.com/releases/faraday_inc_launches_vino_novo_to_enhance_flavor_profile_of_a_bottle_of_wine_in_under_10_minutes/prweb16666056.htm,"Tue, 22 Oct 2019 17:35:00 GMT",Faraday Inc. Launches Vino Novo to Enhance Flavor Profile of a Bottle of Wine in Under 10 Minutes,prweb
249,https://www.prweb.com/releases/icrossing_and_zog_digital_founder_jeff_herzog_returns_to_digital_marketing_as_chairman_ceo_of_zd3_com/prweb16653907.htm,"Tue, 22 Oct 2019 17:00:00 GMT",iCrossing and ZOG Digital Founder Jeff Herzog Returns to Digital Marketing as Chairman & CEO of ZD3.com,prweb
102,https://www.prweb.com/releases/live_auction_260_acre_development_opportunity_wednesday_november_13th_at_5pm/prweb16657492.htm,"Tue, 22 Oct 2019 17:00:00 GMT","Live Auction: 260 +/- Acre Development Opportunity. Wednesday, November 13th at 5PM",prweb
224,https://www.prweb.com/releases/los_gatos_broker_julie_wyss_awarded_the_29_spot_among_the_top_100_real_estate_professionals_in_the_bay_area/prweb16660628.htm,"Tue, 22 Oct 2019 17:00:00 GMT",Los Gatos Broker Julie Wyss Awarded the #29 Spot Among the Top 100 Real Estate Professionals in the Bay Area,prweb
119,https://www.prweb.com/releases/sikka_software_again_wins_best_in_health_apis_from_api_world_awards_recognized_for_developer_friendly_platform/prweb16646541.htm,"Tue, 22 Oct 2019 17:00:00 GMT","Sikka Software again wins Best in Health APIs from API World Awards, recognized for developer friendly platform",prweb
20,https://www.prweb.com/releases/american_consumer_credit_counseling_explains_how_to_improve_credit_scores/prweb16665876.htm,"Tue, 22 Oct 2019 17:00:00 GMT",American Consumer Credit Counseling Explains How to Improve Credit Scores,prweb
235,https://www.prweb.com/releases/gender_differences_in_customer_behavioural_responses_to_coupon_usage/prweb16658578.htm,"Tue, 22 Oct 2019 17:00:00 GMT",Gender Differences in Customer Behavioural Responses to Coupon Usage,prweb
24,https://www.prweb.com/releases/monroe_college_students_faculty_and_staff_lend_a_helping_hand_to_neighboring_communities/prweb16665694.htm,"Tue, 22 Oct 2019 17:00:00 GMT","Monroe College Students, Faculty, and Staff Lend a Helping Hand to Neighboring Communities",prweb
61,https://www.prweb.com/releases/ilmf_lidar_mag_open_nominations_for_2020_lidar_leader_awards/prweb16663292.htm,"Tue, 22 Oct 2019 17:00:00 GMT",ILMF & LIDAR Mag Open Nominations for 2020 Lidar Leader Awards,prweb
42,https://www.prweb.com/releases/the_institutes_riskstream_collaborative_executes_production_testing_of_its_canopy_blockchain_framework_and_its_initial_applications/prweb16664616.htm,"Tue, 22 Oct 2019 16:45:00 GMT",The Institutes RiskStream Collaborative Executes Production Testing of Its Canopy Blockchain Framework and Its Initial Applications,prweb
22,https://www.prweb.com/releases/umd_collaborates_on_new_department_of_defense_grant_to_study_tick_borne_infection_using_3_d_models_of_human_blood_vessels/prweb16665752.htm,"Tue, 22 Oct 2019 16:30:00 GMT",UMD Collaborates on New Department of Defense Grant to Study Tick-borne Infection using 3-D Models of Human Blood Vessels,prweb
23,https://www.prweb.com/releases/security_industry_association_announces_the_2020_security_megatrends/prweb16665737.htm,"Tue, 22 Oct 2019 16:30:00 GMT",Security Industry Association Announces the 2020 Security Megatrends,prweb
187,https://www.prweb.com/releases/aurora_private_wealth_joins_chalice_financial_network_as_new_enterprise_member/prweb16663630.htm,"Tue, 22 Oct 2019 16:15:00 GMT",Aurora Private Wealth Joins Chalice Financial Network as New Enterprise Member,prweb
25,https://www.prweb.com/releases/tata_howard_inc_welcomes_peter_goodwin_as_salem_nh_office_manager/prweb16665645.htm,"Tue, 22 Oct 2019 16:10:00 GMT","Tata & Howard, Inc. Welcomes Peter Goodwin as Salem, NH Office Manager",prweb
29,https://www.prweb.com/releases/myway_mobile_storage_of_grand_rapids_sponsors_grand_rapids_metro_health_marathon/prweb16664891.htm,"Tue, 22 Oct 2019 16:00:00 GMT",MyWay Mobile Storage of Grand Rapids Sponsors Grand Rapids Metro Health Marathon,prweb
64,https://www.prweb.com/releases/upwing_energy_to_present_paper_at_offshore_technology_conference_brazil_2019/prweb16663089.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Upwing Energy to Present Paper at Offshore Technology Conference Brazil 2019,prweb
85,https://www.prweb.com/releases/switchbot_launches_kickstarter_campaign_for_affordable_device_that_transforms_any_curtains_into_smart_curtains_in_30_seconds/prweb16660928.htm,"Tue, 22 Oct 2019 16:00:00 GMT",SwitchBot launches Kickstarter campaign for affordable device that transforms any curtains into smart curtains in 30 seconds,prweb
256,https://www.prweb.com/releases/design_by_humans_launches_new_customizable_graphic_mousepads/prweb16647180.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Design By Humans Launches New Customizable Graphic Mousepads.,prweb
195,https://www.prweb.com/releases/marguerite_casey_foundation_announces_new_ceo_president/prweb16663127.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Marguerite Casey Foundation Announces New CEO & President,prweb
63,https://www.prweb.com/releases/robotical_launches_new_stem_robot_with_added_features_to_help_kids_learn_to_code/prweb16663120.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Robotical launches new STEM robot with added features to help kids learn to code,prweb
39,https://www.prweb.com/releases/mission_accomplished_the_classroom_connectivity_gap_is_now_closed/prweb16664732.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Mission Accomplished: The Classroom Connectivity Gap Is Now Closed,prweb
226,https://www.prweb.com/releases/business_credit_reports_inc_announces_synergy_for_salesforce_on_salesforce_appexchange_the_world_s_leading_enterprise_apps_marketplace/prweb16660532.htm,"Tue, 22 Oct 2019 16:00:00 GMT","Business Credit Reports, Inc. Announces Synergy for Salesforce on Salesforce AppExchange, the World's Leading Enterprise Apps Marketplace",prweb
53,https://www.prweb.com/releases/black_and_ethnic_comedians_finally_gets_their_due_trineday_star_releases_comedy_encyclopedia_trineday_star_releases_comedy_encyclopedia/prweb16664229.htm,"Tue, 22 Oct 2019 16:00:00 GMT",Black and Ethnic Comedians Finally Gets Their Due: TrineDay-Star Releases Comedy Encyclopedia TRINEDAY-STAR RELEASES COMEDY ENCYCLOPEDIA,prweb
222,https://www.prweb.com/releases/qualityip_the_it_services_leader_in_northeast_ohio_is_offering_a_security_awareness_training_sat_program_to_educate_your_companys_employees_on_cyber_security/prweb16660650.htm,"Tue, 22 Oct 2019 16:00:00 GMT","QualityIP, the IT Services Leader in Northeast Ohio, is Offering a Security Awareness Training (SAT) Program to Educate your Company’s Employees on Cyber Security",prweb
139,https://www.prweb.com/releases/bill_booth_named_vice_president_of_product_development_for_data_age_business_systems/prweb16665535.htm,"Tue, 22 Oct 2019 15:50:00 GMT",Bill Booth Named Vice President of Product Development for Data Age Business Systems,prweb
123,https://www.prweb.com/releases/dermbiont_announces_positive_data_from_phase_2a_clinical_trial_and_start_of_phase_2b_clinical_trial_for_athletes_foot_with_a_topical_live_biotherapeutic/prweb16632514.htm,"Tue, 22 Oct 2019 15:45:00 GMT",DermBiont Announces Positive Data from Phase 2a Clinical Trial and Start of Phase 2b Clinical Trial for Athlete’s Foot with a Topical Live Biotherapeutic,prweb
266,https://www.prweb.com/releases/blue_cross_and_blue_shield_of_kansas_city_selects_altruistas_guidingcare_platform_for_care_management/prweb16539967.htm,"Tue, 22 Oct 2019 15:45:00 GMT",Blue Cross and Blue Shield of Kansas City Selects Altruista’s GuidingCare Platform for Care Management,prweb
58,https://www.prweb.com/releases/blue_bird_delivers_record_15_000th_propane_bus_to_newport_news_public_schools/prweb16663685.htm,"Tue, 22 Oct 2019 15:40:00 GMT","Blue Bird Delivers Record 15,000th Propane Bus to Newport News Public Schools",prweb
84,https://www.prweb.com/releases/baker_electric_home_energy_once_again_takes_home_the_coveted_bbb_torch_award_for_ethics/prweb16660976.htm,"Tue, 22 Oct 2019 15:35:00 GMT",Baker Electric Home Energy Once Again Takes Home the Coveted BBB Torch Award for Ethics,prweb
93,https://www.prweb.com/releases/lakeshore_marina_bar_grille_a_johnson_lake_mainstay_for_sale_at_online_auction_from_november_8_14_owners_home_also_available/prweb16660167.htm,"Tue, 22 Oct 2019 15:30:00 GMT",LakeShore Marina Bar & Grille - a Johnson Lake Mainstay – for Sale at Online Auction from November 8 – 14; Owners’ Home Also Available,prweb
212,https://www.prweb.com/releases/oneil_named_as_subcontractor_on_13_million_u_s_army_contract/prweb16661460.htm,"Tue, 22 Oct 2019 15:30:00 GMT",ONEIL named as subcontractor on $13 million U.S. Army contract,prweb
32,https://www.prweb.com/releases/the_ihc_group_selected_by_figo_pet_insurance_to_deliver_best_in_class_pet_health_insurance_plans_for_tech_savvy_pet_lovers/prweb16664816.htm,"Tue, 22 Oct 2019 15:10:00 GMT",The IHC Group Selected By Figo Pet Insurance To Deliver Best-In-Class Pet Health Insurance Plans for Tech Savvy Pet Lovers,prweb
140,https://www.prweb.com/releases/how_to_move_abroad_with_children_internationalliving_com/prweb16665464.htm,"Tue, 22 Oct 2019 15:05:00 GMT",How to Move Abroad With Children—Internationalliving.com,prweb
127,https://www.prweb.com/releases/retired_air_force_lieutenant_colonel_and_airline_pilot_dan_pegram_teaches_kids_the_basics_of_flying_in_pop_pop_airplane_how_do_you_fly/prweb16617844.htm,"Tue, 22 Oct 2019 15:00:00 GMT","Retired Air Force Lieutenant Colonel and Airline Pilot, Dan Pegram, Teaches Kids the Basics of Flying in Pop-Pop Airplane, How Do You Fly?",prweb
197,https://www.prweb.com/releases/future_pharm_introduces_new_black_4_health_liposome_complex/prweb16662894.htm,"Tue, 22 Oct 2019 15:00:00 GMT",Future Pharm Introduces New Black 4 Health Liposome Complex,prweb
144,https://www.prweb.com/releases/pianist_roberta_piket_showcases_the_composing_talents_of_husband_collaborator_billy_mintz_on_domestic_harmony_piket_plays_mintz_due_december_6/prweb16665038.htm,"Tue, 22 Oct 2019 15:00:00 GMT","Pianist Roberta Piket Showcases the Composing Talents of Husband/Collaborator Billy Mintz on ""Domestic Harmony: Piket Plays Mintz,"" Due December 6",prweb
203,https://www.prweb.com/releases/elucidat_opens_new_us_office_to_better_serve_strong_demand_from_north_america/prweb16662469.htm,"Tue, 22 Oct 2019 15:00:00 GMT",Elucidat opens new US office to better serve strong demand from North America,prweb
96,https://www.prweb.com/releases/edriving_launches_fnol_crash_reporting_module_as_part_of_mentor_smartphone_driver_safety_program/prweb16659342.htm,"Tue, 22 Oct 2019 15:00:00 GMT",eDriving Launches FNOL Crash Reporting Module as part of Mentor Smartphone Driver Safety Program,prweb
265,https://www.prweb.com/releases/new_iesp_white_paper_provides_strategies_for_reducing_employee_turnover_and_tools_for_calculating_roi/prweb16604237.htm,"Tue, 22 Oct 2019 15:00:00 GMT",New IESP White Paper Provides Strategies for Reducing Employee Turnover and Tools for Calculating ROI,prweb
193,https://www.prweb.com/releases/prime_meridian_capital_management_named_to_san_francisco_business_times_fast_100_for_third_consecutive_year/prweb16663326.htm,"Tue, 22 Oct 2019 15:00:00 GMT",Prime Meridian Capital Management Named to San Francisco Business Times Fast 100 for Third Consecutive Year,prweb
92,https://www.prweb.com/releases/ifonly_partners_with_shania_kids_can_to_offer_a_chance_to_meet_shania_twain/prweb16660245.htm,"Tue, 22 Oct 2019 15:00:00 GMT",IfOnly Partners with Shania Kids Can to offer a Chance to Meet Shania Twain,prweb
237,https://www.prweb.com/releases/ordermark_enters_into_new_partnership_with_doordash_to_fuel_growth_in_restaurant_delivery/prweb16658382.htm,"Tue, 22 Oct 2019 15:00:00 GMT",Ordermark Enters Into New Partnership with DoorDash to Fuel Growth in Restaurant Delivery,prweb
